B,D,X4,Z,lengths,slacks,e_lo,e_hi,verdict,alive_e,n_alive,minimal_rules,deciding_rule,deciding_numbers,deciding_e,witness
1,0,0,1,"868,869,870,871","0,1,2,3",0,24,empty,,0,R1+R2+R4+R3+R7+R8a+R10,R10,Fp+S5 = 24  >  4Rcap = 4,1,e=1 Q2=0 Ncyc=0 S5=0 S4=0 Fp=24 NCh=24 cnl=0 hits=0 PEN=0 P=24 pools=0|0|0|0|1
1,0,1,0,"868,869,870,871","0,1,2,3",0,23,empty,,0,R1+R2+R4+R3+R6+R7+R10,R10,Fp+S5 = 24  >  4Rcap = 8,0,e=0 Q2=0 Ncyc=0 S5=0 S4=0 Fp=24 NCh=24 cnl=0 hits=0 PEN=0 P=24 pools=0|0|0|0|0
1,5,0,0,"868,869,870,871","0,1,2,3",0,24,empty,,0,R1+R2+R4+R3+R7+R9a+R12,R12,P-2D = 15  >  4NCh-2(SH+ST)-PEN = 4,24,e=24 Q2=0 Ncyc=0 S5=5 S4=0 Fp=20 NCh=25 cnl=24 hits=24 PEN=0 P=25 pools=0|0|0|0|0
2,0,0,2,"869,870,871","0,1,2",0,25,empty,,0,R1+R2+R4+R3+R7+R8a+R10,R10,Fp+S5 = 24  >  4Rcap = 4,2,e=2 Q2=0 Ncyc=0 S5=0 S4=0 Fp=24 NCh=24 cnl=0 hits=0 PEN=0 P=24 pools=0|0|0|0|2
2,0,1,1,"869,870,871","0,1,2",0,24,empty,,0,R1+R2+R4+R3+R7+R8a+R10,R10,Fp+S5 = 24  >  4Rcap = 8,1,e=1 Q2=0 Ncyc=0 S5=0 S4=0 Fp=24 NCh=24 cnl=0 hits=0 PEN=0 P=24 pools=0|0|0|0|1
2,0,2,0,"869,870,871","0,1,2",0,23,empty,,0,R1+R2+R4+R3+R6+R7+R10,R10,Fp+S5 = 24  >  4Rcap = 12,0,e=0 Q2=0 Ncyc=0 S5=0 S4=0 Fp=24 NCh=24 cnl=0 hits=0 PEN=0 P=24 pools=0|0|0|0|0
2,5,0,1,"869,870,871","0,1,2",0,25,empty,,0,R1+R2+R4+R3+R7+R9a+R12,R12,P-2D = 15  >  4NCh-2(SH+ST)-PEN = 4,25,e=25 Q2=0 Ncyc=0 S5=5 S4=0 Fp=20 NCh=25 cnl=24 hits=24 PEN=0 P=25 pools=0|0|0|0|1
2,5,1,0,"869,870,871","0,1,2",0,24,empty,,0,R1+R2+R4+R3+R7+R9a+R12,R12,P-2D = 15  >  4NCh-2(SH+ST)-PEN = 4,24,e=24 Q2=0 Ncyc=0 S5=5 S4=0 Fp=20 NCh=25 cnl=24 hits=24 PEN=0 P=25 pools=0|0|0|0|0
2,10,0,0,"869,870,871","0,1,2",0,25,empty,,0,R1+R2+R4+R3+R7+R9a+R12,R12,P-2D = 6  >  4NCh-2(SH+ST)-PEN = 4,25,e=25 Q2=0 Ncyc=0 S5=10 S4=0 Fp=16 NCh=26 cnl=25 hits=25 PEN=0 P=26 pools=0|0|0|0|0
3,0,0,3,"870,871","0,1",0,26,empty,,0,R1+R2+R4+R3+R7+R8a+R10,R10,Fp+S5 = 24  >  4Rcap = 4,3,e=3 Q2=0 Ncyc=0 S5=0 S4=0 Fp=24 NCh=24 cnl=0 hits=0 PEN=0 P=24 pools=0|0|0|0|3
3,0,1,2,"870,871","0,1",0,25,empty,,0,R1+R2+R4+R3+R7+R8a+R10,R10,Fp+S5 = 24  >  4Rcap = 8,2,e=2 Q2=0 Ncyc=0 S5=0 S4=0 Fp=24 NCh=24 cnl=0 hits=0 PEN=0 P=24 pools=0|0|0|0|2
