# The authoritative reproduction record of PAPER-n6-872.
# One row per verified artefact/computation.  Tab-separated, six fields:
#   id <TAB> artefact <TAB> implementations <TAB> scope <TAB> nodes <TAB> gap
# Fields are LaTeX source.  A new verification result is a ONE-LINE edit here;
# regenerate with  python3 gen_record.py --splice ../../paper/PAPER-n6-872-v2.tex
# "written" = independently WRITTEN implementation (a second derivation).
# "build"   = independent BUILD of one audited source (execution only).
id	artefact	implementations	scope	nodes	gap
R1a	Coarse and refined chain-capacity frontier, low costs (Lem.~\ref{lem:capacity}, App.~\ref{app:tables})	\textbf{5 written}, agreeing entry for entry; 2 of them pruning-free and node-identical with a 3rd, de-pruned	every entry, every endpoint type, costs $0$--$16$; refined table to $c\le16$	$2{,}034{,}132{,}013$ (pruning-free)	none
R1b	Coarse frontier, middle costs	\textbf{2 written}	every entry, costs $17$--$18$; refined table to $c\le18$ by one	$5{,}501{,}025{,}613$; $14{,}654{,}518{,}183$ (de-pruned)	none
R1c	Coarse frontier, top costs	\textbf{2 written}: the original (2 builds, pruned and de-pruned) and a second enumerator written from Def.~\ref{def:F}, Lem.~\ref{lem:capacity} and App.~C.2.12 alone	every entry, costs $19$--$20$, incl.\ $g(19,\cdot)=(25,25,25,24)$ and $g(20,\cdot)=(25,25,25,25)$; the second reproduced the whole table entry for entry, and identically with its run cap disabled	$38{,}455{,}866{,}853$; $99{,}428{,}989{,}435$ (de-pruned); $16{,}571{,}498{,}239$ (second implementation)	none.  Values agree entry for entry; the eight attaining chains were re-verified from the definitions by a separate checker
R1d	Pruning-free certification of the frontier	3 written at $c\le16$; de-pruned build of the App.~\ref{app:tables} enumerator at $c=17,\dots,20$	complete: every row the paper consumes, costs $0$--$20$	$99{,}428{,}989{,}435$ at $c=20$, $128\times$ the pruned run	none; exhaustiveness is certified at every consumed cost
R1e	Sharpness of the frontier: a witness chain per cell	instrumented build (node-identical) $+$ \textbf{1 written} checker re-deriving $\rot,\rho,d$	all $80$ non-empty cells of the $21\times4$ coarse table	n/a	none ($80/80$ attained, $0$ failures)
R2	The length-$872$ witness, membership check (Prop.~\ref{prop:upper}, Alg.~\ref{alg:check})	\textbf{4 written}	the printed string; $720/720$ permutations each	n/a	none; the string is a certificate, checkable without this record
R3	Structural-class scanner (Alg.~\ref{alg:scan}; Prop.~\ref{prop:rigid}, Thm.~\ref{thm:classes})	\textbf{2 written}, both vendored	survivor sets at $L=868,\dots,873$: $796$ cells identical, both ladders $0,0,2,8,22,45$; agreement of $F$ over the consumed range; differential check on the $16$ classes $+$ $6$ control cells	n/a	the cross-check matches the two at the cost-$16$ table depth, the shipped depth $20$ being strictly tighter; the second implementation omits Lemmas~\ref{lem:refined} and~\ref{lem:packing}, so Thm.~\ref{thm:classes} rests on the primary one.  Case-for-case agreement of internal rejection reasons is not claimed
R4	Exhaustive $e=0$ ordering searches (Alg.~\ref{alg:esearch}; Lem.~\ref{lem:e0})	\textbf{2 written} (the 2nd from the App.~A.3 specification)	all $9$ instances; all $9$ verdicts and node counts.  Positive control at $L=873$, $(E,S,X4)=(0,24,6)$: exactly $96$ solutions, equal to the $96$ known objects up to relabelling, exhausted	$9.0\times10^{11}$; $2.66\times10^{10}$ (positive control)	both share Lem.~\ref{lem:reduction} and the segment identity: implementation independence, not model independence
R5a	Endpoint-pinned chain-maximum query (Alg.~\ref{alg:chainq}; Prop.~\ref{prop:sixempty})	\textbf{2 written}; outcome agreement only	all $14$ configurations; $7{,}855$ validation queries vs.\ the certified tables	n/a	the two enumerators are not certified independent in derivation; route redundant with R7a--R7b
R5b	Cycle-cover obstruction (Alg.~\ref{alg:cover}; Prop.~\ref{prop:sixempty})	\textbf{2 written}; outcome agreement only	all $4$ covering runs / $59$ configurations	n/a	as R5a
